P_CODE,MMI_MAX,MMI_MEAN
C-BAG-28-029,7.63,7.58
C-BAG-28-030,7.58,7.51
C-BAG-28-031,7.81,7.72
C-BAG-28-032,7.69,7.59
C-BAG-28-033,7.81,7.69
C-BAG-28-034,7.61,7.51
C-BAG-28-035,8.02,7.82
C-BAG-28-036,7.60,7.46
C-BAG-28-037,7.57,7.51
C-BAG-28-038,7.98,7.70
C-BAG-28-039,7.59,7.53
C-BAG-28-040,7.52,7.47
C-BAG-28-041,7.66,7.56
C-BAG-28-042,7.72,7.57
C-BAG-28-043,7.64,7.53
C-BAG-28-044,7.64,7.47
C-BAG-28-045,7.92,7.79
C-BAG-28-046,7.54,7.47
C-BAG-28-047,7.63,7.46
C-BAG-28-048,7.81,7.64
C-BAG-28-049,7.56,7.45
C-BAG-28-050,7.45,7.43
C-BAG-28-051,7.47,7.36
C-BAG-28-052,7.53,7.47
C-BAG-28-053,7.49,7.45
C-BAG-28-054,7.62,7.51
C-BAG-28-055,7.87,7.75
C-BAG-28-056,7.56,7.50
C-BAG-28-057,7.88,7.80
C-BAG-28-058,7.63,7.55
C-BAG-28-059,7.81,7.62
C-BAG-28-060,7.62,7.49
C-BAG-28-061,7.70,7.53
C-BAG-28-062,7.45,7.39
C-BAG-29-001,7.51,7.44
C-BAG-29-002,7.35,7.17
C-BAG-29-003,7.30,7.16
C-BAG-29-004,7.44,7.35
C-BAG-29-005,7.46,7.30
C-BAG-29-006,7.34,7.19
C-BAG-29-007,7.26,7.22
C-BAG-29-008,7.46,7.30
C-BAG-29-009,7.54,7.46
C-BAG-29-010,7.56,7.45
C-BAG-29-011,7.29,6.72
C-BAG-29-012,7.52,7.39
C-BAG-29-013,7.49,7.41
C-BAG-29-014,7.43,7.22
C-BAG-29-015,7.42,7.41
C-BAG-29-016,7.22,7.10
C-BAG-29-017,7.17,6.73
C-BAG-29-018,7.39,7.33
C-BAG-30-001,7.95,7.81
C-BAG-30-002,8.11,7.94
C-BAG-30-003,7.60,7.50
C-BAG-30-004,8.13,8.04
C-BAG-30-005,8.05,7.89
C-BAG-30-006,7.81,7.68
C-BAG-30-007,7.96,7.83
C-BAG-30-008,8.02,7.56
C-BAG-30-009,7.56,7.49
C-BAG-30-010,7.95,7.86
C-BAG-30-011,8.18,8.06
C-BAG-30-012,7.85,7.73
C-BAG-30-013,8.18,8.01
C-BAG-30-014,8.15,7.88
C-BAG-30-015,7.67,7.56
C-BAG-30-016,8.12,7.94
C-BAG-30-017,7.55,7.41
C-BAG-30-018,8.26,8.09
C-BAG-30-019,7.90,7.73
C-BAG-30-020,8.03,7.86
C-BAG-30-021,7.85,7.69
C-BAG-30-022,8.19,7.92
C-BAG-30-023,7.94,7.79
C-BAG-30-024,7.94,7.87
C-BAG-30-025,8.09,7.97
C-BAG-30-026,8.06,7.90
C-BAG-30-027,7.53,7.27
C-BAG-30-028,8.17,8.07
C-BAG-30-029,8.03,7.91
C-BAG-30-030,7.75,7.58
C-BAG-30-031,7.81,7.73
C-BAG-30-032,7.96,7.87
C-BAG-30-033,7.89,7.84
C-BAG-30-034,8.00,7.86
C-BAG-30-035,7.94,7.76
C-BAG-30-036,7.79,7.53
C-BAG-30-037,8.11,8.00
C-BAG-30-038,7.58,7.45
C-BAG-30-039,8.08,7.95
C-BAG-30-040,7.82,7.67
C-BAG-30-041,7.98,7.89
C-BAG-30-042,7.94,7.78
C-BAG-30-043,7.55,7.49
C-BAG-30-044,7.68,7.59
C-BAG-30-045,7.42,7.26
C-BAG-30-046,7.96,7.83
C-BAG-30-047,7.95,7.91
C-BAG-30-048,8.09,7.87
C-BAG-30-049,7.38,7.23
C-BAG-30-050,7.76,7.68
C-JAN-17-001,6.68,6.66
C-JAN-17-002,6.65,6.61
C-JAN-17-003,6.61,6.60
C-JAN-17-004,6.69,6.65
C-JAN-17-005,6.57,6.54
C-JAN-17-006,6.63,6.62
C-JAN-17-007,6.69,6.63
C-JAN-17-008,6.45,6.44
C-JAN-17-009,6.48,6.45
C-JAN-17-010,6.46,6.44
C-JAN-17-011,6.73,6.71
C-JAN-17-012,6.65,6.61
C-JAN-17-013,6.65,6.61
C-JAN-17-014,6.74,6.69
C-JAN-17-015,6.82,6.76
C-JAN-17-016,6.94,6.79
C-JAN-17-017,6.74,6.69
C-JAN-17-018,6.67,6.53
C-JAN-17-019,6.83,6.80
C-JAN-17-020,6.76,6.70
C-JAN-17-021,6.66,6.63
C-JAN-17-022,6.55,6.53
C-JAN-17-023,6.63,6.61
C-JAN-17-024,6.61,6.58
C-JAN-17-025,6.72,6.66
C-JAN-17-026,6.61,6.55
C-JAN-17-027,6.62,6.61
C-JAN-17-028,6.63,6.61
C-JAN-17-029,6.55,6.50
C-JAN-17-030,6.82,6.70
C-JAN-17-031,6.64,6.57
C-JAN-17-032,6.68,6.62
C-JAN-17-033,6.76,6.71
C-JAN-17-034,6.52,6.50
C-JAN-17-035,6.59,6.53
C-JAN-17-036,6.55,6.52
C-JAN-17-037,6.60,6.54
C-JAN-17-038,6.62,6.60
C-JAN-17-039,6.67,6.24
C-JAN-17-040,6.75,6.71
C-JAN-17-041,6.58,6.55
C-JAN-17-042,6.66,6.64
C-JAN-17-043,6.75,6.70
C-JAN-17-044,6.63,6.55
C-JAN-17-045,6.59,6.56
C-JAN-17-046,6.46,6.44
C-JAN-17-047,6.60,6.57
C-JAN-17-048,6.73,6.66
C-JAN-17-049,6.66,6.63
C-JAN-17-050,6.65,6.61
C-JAN-17-051,6.71,6.69
C-JAN-17-052,6.69,6.64
C-JAN-17-053,6.66,6.62
C-JAN-17-054,6.47,6.45
C-JAN-17-055,6.63,6.62
C-JAN-17-056,6.77,6.74
C-JAN-17-057,6.65,6.60
C-JAN-17-058,6.56,6.53
C-JAN-17-059,6.62,6.60
C-JAN-17-060,6.52,6.46
C-JAN-17-061,6.84,6.82
C-JAN-17-062,6.75,6.72
C-JAN-17-063,6.65,6.62
C-JAN-17-064,6.48,6.47
C-JAN-17-065,6.66,6.62
C-JAN-17-066,6.71,6.67
C-JAN-17-067,6.65,6.63
C-JAN-17-068,6.50,6.47
C-JAN-17-069,6.69,6.65
C-JAN-17-070,6.69,6.65
C-JAN-17-071,6.49,6.47
C-JAN-17-072,6.55,6.52
C-JAN-17-073,6.79,6.64
C-JAN-17-074,6.62,6.60
C-JAN-17-075,6.65,6.62
C-JAN-17-076,6.62,6.61
C-JAN-17-077,6.46,6.45
C-JAN-17-078,6.69,6.67
C-JAN-17-079,6.64,6.61
C-JAN-17-080,6.74,6.54
C-JAN-17-081,6.69,6.65
C-JAN-17-082,6.80,6.76
C-JAN-17-083,6.71,6.68
C-JAN-17-084,6.80,6.75
C-JAN-17-085,6.80,6.77
C-JAN-17-086,6.71,6.65
C-JAN-17-087,6.80,6.77
C-JAN-17-088,6.60,6.57
C-JAN-17-089,6.59,6.52
C-JAN-17-090,6.79,6.75
C-JAN-17-091,6.64,6.62
C-JAN-17-092,6.64,6.63
C-JAN-17-093,6.64,6.62
C-JAN-17-094,6.71,6.69
C-JAN-17-095,6.55,6.47
C-JAN-17-096,6.71,6.68
C-JAN-17-097,7.37,6.87
C-JAN-17-098,6.59,6.54
C-JAN-17-099,6.55,6.48
C-JAN-17-100,6.76,6.67
C-JAN-17-101,6.59,6.56
C-JAN-17-102,6.73,6.58
C-JAN-18-001,6.62,6.59
C-JAN-18-002,7.01,6.97
C-JAN-18-003,6.83,6.79
C-JAN-18-004,6.72,6.68
C-JAN-18-005,6.86,6.83
C-JAN-18-006,6.81,6.75
C-JAN-18-007,6.60,6.59
C-JAN-18-008,6.83,6.79
C-JAN-18-009,7.04,6.96
C-JAN-18-010,6.88,6.85
C-JAN-18-011,6.63,6.57
C-JAN-18-012,7.09,7.04
C-JAN-18-013,7.07,7.04
C-JAN-18-014,6.65,6.63
C-JAN-18-015,6.96,6.90
C-JAN-18-016,6.75,6.68
C-JAN-18-017,6.67,6.64
C-JAN-18-018,6.90,6.82
C-JAN-18-019,6.90,6.85
C-JAN-18-020,6.60,6.57
C-JAN-18-021,6.68,6.66
C-JAN-18-022,6.61,6.59
C-JAN-18-023,6.77,6.71
C-JAN-18-024,6.62,6.61
C-JAN-18-025,7.07,7.03
C-JAN-18-026,6.84,6.82
C-JAN-18-027,7.53,6.97
C-JAN-18-028,7.05,6.98
C-JAN-18-029,6.72,6.69
C-JAN-18-030,6.66,6.61
C-JAN-18-031,6.85,6.80
C-JAN-18-032,7.07,6.98
C-JAN-18-033,6.92,6.89
C-JAN-18-034,6.62,6.55
C-JAN-18-035,6.99,6.95
C-JAN-18-036,7.86,7.35
C-JAN-18-037,6.94,6.90
C-JAN-18-038,6.79,6.76
C-JAN-18-039,6.95,6.89
C-JAN-18-040,6.66,6.64
C-JAN-18-041,7.12,7.06
C-JAN-18-042,6.87,6.83
C-JAN-18-043,6.79,6.77
C-JAN-18-044,6.67,6.63
C-JAN-18-045,7.51,7.16
C-JAN-18-046,6.63,6.59
C-JAN-18-047,6.72,6.68
C-JAN-18-048,6.57,6.52
C-JAN-18-049,6.95,6.90
C-JAN-18-050,6.58,6.54
C-JAN-18-051,7.03,7.01
C-JAN-18-052,6.77,6.74
C-JAN-18-053,6.91,6.88
C-JAN-18-054,6.55,6.49
C-JAN-18-055,6.91,6.87
C-JAN-18-056,6.60,6.58
C-JAN-18-057,6.66,6.62
C-JAN-18-058,6.81,6.80
C-JAN-18-059,6.93,6.90
C-JAN-18-060,6.89,6.84
C-JAN-18-061,7.09,7.00
C-JAN-18-062,6.78,6.68
C-JAN-18-063,6.82,6.81
C-JAN-18-064,6.65,6.61
C-JAN-18-065,6.70,6.67
C-JAN-18-066,6.81,6.73
C-JAN-18-067,6.86,6.83
C-JAN-18-068,7.00,6.96
C-JAN-18-069,6.59,6.57
C-JAN-18-070,6.92,6.88
C-JAN-18-071,6.70,6.67
C-JAN-18-072,6.99,6.93
C-JAN-18-073,6.98,6.90
C-JAN-18-074,6.78,6.74
C-JAN-18-075,6.54,6.51
C-JAN-18-076,7.03,6.99
C-JAN-18-077,6.88,6.83
C-JAN-19-001,6.66,6.64
C-JAN-19-002,6.67,6.63
C-JAN-19-003,7.45,7.07
C-JAN-19-004,6.96,6.91
C-JAN-19-005,7.09,7.03
C-JAN-19-006,6.82,6.77
C-JAN-19-007,6.67,6.65
C-JAN-19-008,6.64,6.62
C-JAN-19-009,7.14,7.06
