P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX,,,,,,,,,,,,,
C-BAG-23-040,Kunchok,Sindhupalchok,Central,7.71,8.92,3967,6.01,282.18,5.62,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-041,Langarche,Sindhupalchok,Central,7.42,8.59,2590,5.70,155.32,5.02,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-042,Lisankhu,Sindhupalchok,Central,7.91,9.16,3774,5.97,112.78,4.70,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-043,Listikot,Sindhupalchok,Central,7.36,8.52,3305,5.88,65.46,4.16,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-044,Mahankal,Sindhupalchok,Central,7.59,8.79,4843,6.15,170.94,5.12,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-045,Maneswor,Sindhupalchok,Central,7.55,8.74,3393,5.89,176.15,5.15,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-046,Mankha,Sindhupalchok,Central,7.52,8.71,7752,6.49,501.51,6.19,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-047,Marming,Sindhupalchok,Central,7.53,8.72,3255,5.86,66.34,4.18,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-048,Melamchi,Sindhupalchok,Central,7.64,8.85,5230,6.21,505.06,6.20,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-049,Motang,Sindhupalchok,Central,7.32,8.47,2582,5.70,13.83,2.61,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-050,Nawalpur,Sindhupalchok,Central,7.59,8.79,3471,5.91,208.21,5.31,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-051,Pagretar,Sindhupalchok,Central,7.51,8.70,2952,5.79,306.98,5.70,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-052,Palchok,Sindhupalchok,Central,7.58,8.78,1927,5.48,196.67,5.26,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-053,Pangtang,Sindhupalchok,Central,7.44,8.61,2481,5.67,153.4,5.01,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-054,Petaku,Sindhupalchok,Central,7.49,8.67,1600,5.35,304.77,5.69,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-055,Pipaldanda,Sindhupalchok,Central,7.76,8.98,3371,5.89,251.47,5.50,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-056,Piskar,Sindhupalchok,Central,7.43,8.61,2286,5.61,181.75,5.18,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-057,Ramche,Sindhupalchok,Central,7.39,8.56,4092,6.03,360.69,5.86,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-058,Sangachok,Sindhupalchok,Central,7.80,9.04,9577,6.65,313.53,5.72,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-059,Sanusiruwari,Sindhupalchok,Central,7.71,8.93,3274,5.87,296.28,5.67,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-060,Selang,Sindhupalchok,Central,7.46,8.65,2613,5.71,113.94,4.71,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-061,Sikharpur,Sindhupalchok,Central,7.80,9.03,2564,5.69,286.9,5.63,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-062,Sindhukot,Sindhupalchok,Central,7.55,8.74,3125,5.84,260.01,5.54,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-063,SipalKavre,Sindhupalchok,Central,7.76,8.99,3805,5.98,364.47,5.87,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-064,SipaPokhare,Sindhupalchok,Central,7.54,8.73,2777,5.75,151.21,5.00,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
